FECHA,SEMANA,TURNO,HORA DE INICIO,RESPONSABLE,OPERADORES,NUMERO DE PEDIDO,SELL.,NOMBRE DEL PEDIDO,TIPO DE BOLSA,MEDIDA,CALIBRE,GPM (Golpes por minuto),TEMPERATURA DE SELLADO (INFERIOR),TEMPERATURA DE SELLADO (SUPERIOR),PESO/BULTO,KG/DE BOBINA,N° DE BULTOS,PROMEDIO,MILLARES,SERIALIZADO INICIO,SERIALIZADO FIN,PESO DE TROQUEL,MERMA EXTRUSION,CAUSAS EXTRUSION,MER IMPRESIÓN,CAUSAS IMPRESIÓN,IMPRESIÓN  MERMA POR PROCESO,MERMA SELLADO,CAUSAS SELLADO,BOLSA DE 2A,ORIGEN,CUARENTENA,BASURA,MUESTRAS,HORA FINAL,HORAS DE TRABAJO
3/1/19,1,2,4:00:00 p. m.,RESPONSABLE1,OPERADORES9,SAP-1607,SEL012,VIHU-002,TIPODEBOLSA2,28X57,180,,,,171.2,246,8,21.4,12,N/A,N/A,0,0,CAUSASEXTRUSION1,1.55,CAUSASIMPRESIÓN1,,0.76,CAUSASSELLADO1,0,,,0.31,0.13,22:00:00,6
3/1/19,1,2,2:00:00 p. m.,RESPONSABLE1,OPERADORES10,SAP-1607,SEL010,VIHU-002,TIPODEBOLSA2,28X57,180,,,,275.73,236,13,21.21,19.5,N/A,N/A,0,0,CAUSASEXTRUSION1,4,CAUSASIMPRESIÓN1,,1.16,CAUSASSELLADO1,0,,,0.1,0.11,21:55:00,7.9
3/1/19,1,3,10:00:00 p. m.,RESPONSABLE2,OPERADORES11,SAP-1607,SEL010,VIHU-002,TIPODEBOLSA2,28X57,180,,,,167.92,140,8,20.99,12,N/A,N/A,0,0,CAUSASEXTRUSION1,0.63,CAUSASIMPRESIÓN1,,0.53,CAUSASSELLADO1,0,,,0.07,0.11,4:00:00,6
3/1/19,1,3,10:00:00 p. m.,RESPONSABLE2,OPERADORES4,SAP-1607,SEL010,VIHU-002,TIPODEBOLSA2,28X57,180,,,,64.51,0,3,21.5,4.5,N/A,N/A,0,0,CAUSASEXTRUSION1,1.54,CAUSASIMPRESIÓN1,,0.1,CAUSASSELLADO1,0,,,0,0.11,23:50:00,1.8
3/1/19,1,3,10:00:00 p. m.,RESPONSABLE2,OPERADORES3,SAP-1615A,SEL003,BELLE-002,TIPODEBOLSA1,30+18X60,80,,,,64.93,70,3,21.64,0,N/A,N/A,7.67,0,CAUSASEXTRUSION1,0.9,CAUSASIMPRESIÓN1,,2.34,CAUSASSELLADO1,0,,,0,0.05,3:00:00,5
4/1/19,1,1,6:40:00 a. m.,RESPONSABLE3,OPERADORES12,SAP-1620,SEL003,RUBY-001,TIPODEBOLSA1,25+13X50,60,,,,80,196,4,20,0,N/A,N/A,10.2,0,CAUSASEXTRUSION1,2,CAUSASIMPRESIÓN3,,3.86,CAUSASSELLADO1,6.44,IMP. Y EXT.,,0.19,0.07,10:30:00,3.8
4/1/19,1,1,9:10:00 a. m.,RESPONSABLE3,OPERADORES8,SAP-1620,SEL009,RUBY-001,TIPODEBOLSA1,25+13X50,60,,,,165.6,107,8,20.7,0,N/A,N/A,22.91,0,CAUSASEXTRUSION1,3,CAUSASIMPRESIÓN1,,0.74,CAUSASSELLADO1,4.9,IMP. Y EXT.,,0.2,0.05,12:00:00,2.8
4/1/19,1,1,7:40:00 a. m.,RESPONSABLE3,OPERADORES7,SAP-1607,SEL010,VIHU-002,TIPODEBOLSA2,28X57,180,,,,241.92,239,11,21.99,17.2,N/A,N/A,0,0,CAUSASEXTRUSION1,1.3,CAUSASIMPRESIÓN1,,1.05,CAUSASSELLADO1,0,,,0.35,0.12,11:55:00,4.3
4/1/19,1,1,10:00:00 a. m.,RESPONSABLE3,OPERADORES5,SAP-1614,SEL011,BRIZ-001,TIPODEBOLSA2,30X60,200,,,,125,221,5,25,0,N/A,N/A,0,0,CAUSASEXTRUSION1,1,CAUSASIMPRESIÓN1,,0.5,CAUSASSELLADO1,0,,,0.35,0.12,14:00:00,4
4/1/19,1,1,12:00:00 p. m.,RESPONSABLE3,OPERADORES7,SAP-1612,SEL010,ELL-001,TIPODEBOLSA2,28X60,180,,,,88.88,83,4,22.22,6,N/A,N/A,0,3.12,CAUSASEXTRUSION2,0.52,CAUSASIMPRESIÓN1,,1,CAUSASSELLADO1,0,,,0.12,0.09,14:00:00,2
4/1/19,1,2,2:00:00 p. m.,RESPONSABLE1,OPERADORES2,SAP-1614,SEL011,BRIZ-001,TIPODEBOLSA2,30X60,200,,,,92.6,0,3,30.87,0,N/A,N/A,0,0,CAUSASEXTRUSION1,1.27,CAUSASIMPRESIÓN1,,0,CAUSASSELLADO2,0,,,0.1,0.15,16:35:00,2.6
4/1/19,1,2,5:20:00 p. m.,RESPONSABLE1,OPERADORES2,SAP-1621,SEL011,SAMA-001,TIPODEBOLSA2,22.5X54,175,,,,100.98,134,5,20.2,10,N/A,N/A,0,0,CAUSASEXTRUSION1,0,CAUSASIMPRESIÓN4,,0.15,CAUSASSELLADO1,0,,,0,0.06,21:45:00,4.4
4/1/19,1,2,2:00:00 p. m.,RESPONSABLE1,OPERADORES10,SAP-1612,SEL010,ELL-001,TIPODEBOLSA2,28X60,180,,,,241.61,305,11,21.96,16.5,N/A,N/A,0,0,CAUSASEXTRUSION1,2,CAUSASIMPRESIÓN1,,0.33,CAUSASSELLADO1,0,,,0.18,0.14,21:55:00,7.9
4/1/19,1,3,10:00:00 p. m.,RESPONSABLE2,OPERADORES3,SAP-1642,SEL009,POLE-002,TIPODEBOLSA1,25+13X51,50,,,,20.47,51,1,20.47,5,N/A,N/A,5.79,0,CAUSASEXTRUSION1,0.31,CAUSASIMPRESIÓN1,,0.12,CAUSASSELLADO1,1,IMP. Y SELL,,0,0,23:30:00,1.5
4/1/19,1,3,10:00:00 p. m.,RESPONSABLE2,OPERADORES11,SAP-1612,SEL010,ELLL-001,TIPODEBOLSA2,28X60,180,,,,129.57,76,5,25.91,8.87,N/A,N/A,0,0,CAUSASEXTRUSION1,0.22,CAUSASIMPRESIÓN1,,0,CAUSASSELLADO2,0,,,0.04,0.11,2:00:00,4
4/1/19,1,3,10:00:00 p. m.,RESPONSABLE2,OPERADORES4,SAP-1621,SEL011,SAMA-001,TIPODEBOLSA2,22.5X54,175,,,,201.58,171,10,20.16,20,N/A,N/A,0,0,CAUSASEXTRUSION1,5.12,CAUSASIMPRESIÓN1,,0.45,CAUSASSELLADO1,0,,,0.07,0.07,4:40:00,6.7
4/1/19,1,3,10:00:00 p. m.,RESPONSABLE2,OPERADORES13,SAP-1631,SEL012,PLUS-002,TIPODEBOLSA2,22.5X60,200,,,,100,118,4,25,0,N/A,N/A,0,0,CAUSASEXTRUSION1,1.25,CAUSASIMPRESIÓN1,,0.1,CAUSASSELLADO1,0,,,0.3,0,1:20:00,3.3
5/1/19,1,1,8:30:00 a. m.,RESPONSABLE3,OPERADORES6,SAP-1642,SEL009,POLE-002,TIPODEBOLSA1,25+13X51,50,,,,181.5,186,8,22.69,43.2,N/A,N/A,22.91,0,CAUSASEXTRUSION1,1,CAUSASIMPRESIÓN1,,0.1,CAUSASSELLADO1,2.88,IMP. Y EXT.,,0,0,10:30:00,2
5/1/19,1,1,8:00:00 a. m.,RESPONSABLE3,OPERADORES1,SAP-1631,SEL010,PLUS-002,TIPODEBOLSA2,22.5X60,200,,,,125,133,5,25,0,N/A,N/A,0,0,CAUSASEXTRUSION1,1.24,CAUSASIMPRESIÓN1,,0.27,CAUSASSELLADO1,0,,,0.1,0,11:00:00,3
5/1/19,1,1,10:40:00 a. m.,RESPONSABLE3,OPERADORES12,SAP-1644,SEL009,GOCO-001,TIPODEBOLSA1,26+14X50,60,,,,174.83,214,8,21.85,24,N/A,N/A,25,0,CAUSASEXTRUSION1,1.9,CAUSASIMPRESIÓN1,,0.2,CAUSASSELLADO1,4.8,IMP. Y EXT.,,0.14,0.02,12:30:00,1.8
7/1/19,2,1,12:15:00 p. m.,RESPONSABLE1,OPERADORES10,SAP-1631,SEL010,PLUS-002,TIPODEBOLSA2,22.5X60,200,,,,75,84,3,25,0,N/A,N/A,0,0,CAUSASEXTRUSION1,0,CAUSASIMPRESIÓN4,,0.81,CAUSASSELLADO1,,,,0.09,0.11,14:00:00,1.8
7/1/19,2,2,2:00:00 p. m.,RESPONSABLE2,OPERADORES3,SAP-1644,SEL009,GOCO-001,TIPODEBOLSA1,26+14X50,60,,,,324.95,359,15,21.66,60,N/A,N/A,40.74,0,CAUSASEXTRUSION1,1.35,CAUSASIMPRESIÓN1,,0.34,CAUSASSELLADO1,4.84,IMP. Y SELL,,0.25,0,22:00:00,8
7/1/19,2,2,2:00:00 p. m.,RESPONSABLE2,OPERADORES4,SAP-1631,SEL010,PLUS-002,TIPODEBOLSA2,22.5X60,200,,,,28.9,0,1,28.9,0,N/A,N/A,0,0,CAUSASEXTRUSION1,1.48,CAUSASIMPRESIÓN1,,1,CAUSASSELLADO1,0,,,0,0.09,15:50:00,1.8
7/1/19,2,2,4:10:00 p. m.,RESPONSABLE2,OPERADORES4,SAP-1632,SEL010,HUAM-001,TIPODEBOLSA2,22.5X60,180,,,,101.8,96,4,25.45,0,N/A,N/A,0,0,CAUSASEXTRUSION1,2.6,CAUSASIMPRESIÓN1,,0.57,CAUSASSELLADO1,0,,,0.06,0.12,18:00:00,1.8
7/1/19,2,2,3:20:00 p. m.,RESPONSABLE2,OPERADORES11,SAP-1632,SEL011,HUAM-001,TIPODEBOLSA2,22.5X60,180,,,,175,188,7,25,0,N/A,N/A,0,0,CAUSASEXTRUSION1,4.49,CAUSASIMPRESIÓN1,,0.18,CAUSASSELLADO1,0,,,0.05,0.09,20:30:00,5.2
7/1/19,2,3,10:00:00 p. m.,RESPONSABLE3,OPERADORES7,SAP-1644,SEL009,GOCO-001,TIPODEBOLSA1,26+14X50,60,,,,22.3,0,1,22.3,4,N/A,N/A,4.77,0,CAUSASEXTRUSION1,0.7,CAUSASIMPRESIÓN1,,0,CAUSASSELLADO2,0,,,0,0.05,23:00:00,1
7/1/19,2,3,11:00:00 p. m.,RESPONSABLE3,OPERADORES5,40119,SEL009,PROI-007,TIPODEBOLSA3,30+18X57,100,,,,360,430,18,20,0,N/A,N/A,25.07,0,CAUSASEXTRUSION1,0,CAUSASIMPRESIÓN4,,3.28,CAUSASSELLADO1,0,,,0.25,0.1,5:30:00,6.5
8/1/19,2,1,7:00:00 a. m.,RESPONSABLE1,OPERADORES9,40119,SEL009,PROI-007,TIPODEBOLSA3,30+18X57,100,,,,240,282,12,20,0,N/A,N/A,30.35,0,CAUSASEXTRUSION1,0,CAUSASIMPRESIÓN4,,0.38,CAUSASSELLADO1,0,,,0.31,0,9:20:00,2.3
8/1/19,2,1,9:30:00 a. m.,RESPONSABLE1,OPERADORES9,SAP-1644,SEL009,GOCO-001,TIPODEBOLSA1,26+14X50,60,,,,77.29,127,3,25.76,14.2,N/A,N/A,8.73,0,CAUSASEXTRUSION1,0.91,CAUSASIMPRESIÓN1,,2.66,CAUSASSELLADO1,1.7,IMP. Y EXT.,,0.2,0,11:30:00,2
8/1/19,2,1,12:00:00 p. m.,RESPONSABLE1,OPERADORES9,SAP-1647,SEL009,BAMA-001,TIPODEBOLSA1,25+14X51,90,,,,50,67,2,25,0,N/A,N/A,6.79,0,CAUSASEXTRUSION1,0,CAUSASIMPRESIÓN4,,0.33,CAUSASSELLADO1,5.7,IMP. Y SELL,,0.3,0.05,14:00:00,2
8/1/19,2,1,10:40:00 a. m.,RESPONSABLE1,OPERADORES10,SAP-1635,SEL010,HOSO-001,TIPODEBOLSA2,30X59,190,,,,150,164,6,25,0,N/A,N/A,0,0,CAUSASEXTRUSION1,4,CAUSASIMPRESIÓN1,,2.1,CAUSASSELLADO1,0,,,0.17,0.13,14:00:00,3.3
8/1/19,2,1,11:30:00 a. m.,RESPONSABLE1,OPERADORES2,SAP-1633,SEL011,TEPU-005,TIPODEBOLSA2,38X75+5,200,,,,19.09,74,1,19.09,0,1,700,0,0,CAUSASEXTRUSION1,0,CAUSASIMPRESIÓN4,,6.65,CAUSASSELLADO1,0,,,0,0.15,13:45:00,2.3
8/1/19,2,2,2:00:00 p. m.,RESPONSABLE2,OPERADORES3,SAP-1647,SEL009,BAMA-001,TIPODEBOLSA1,25+14X51,90,,,,250,309,10,25,0,N/A,N/A,35.34,2,CAUSASEXTRUSION3,2,CAUSASIMPRESIÓN1,,2.14,CAUSASSELLADO1,0,,,0.2,0,17:00:00,3
8/1/19,2,2,5:15:00 p. m.,RESPONSABLE2,OPERADORES3,SAP-1643,SEL009,DAUZ-002,TIPODEBOLSA1,30+18X60,70,,,,258,299,12,21.5,0,N/A,N/A,34.18,0,CAUSASEXTRUSION1,0,CAUSASIMPRESIÓN4,,0.43,CAUSASSELLADO1,1.57,IMPRESIÓN,,0.34,0.05,21:00:00,3.8
8/1/19,2,2,2:00:00 p. m.,RESPONSABLE2,OPERADORES4,SAP-1635,SEL010,HOSO-001,TIPODEBOLSA2,30X59,190,,,,325,326,13,25,0,N/A,N/A,0,0,CAUSASEXTRUSION1,4.18,CAUSASIMPRESIÓN1,,0.57,CAUSASSELLADO1,0,,,0.18,0.13,22:00:00,8
8/1/19,2,2,2:00:00 p. m.,RESPONSABLE2,OPERADORES11,SAP-1633,SEL011,TEPU-005,TIPODEBOLSA2,38X75+5,200,,,,214.93,290,11,19.54,7.7,701,8400,0,0,CAUSASEXTRUSION1,2.38,CAUSASIMPRESIÓN1,,0.25,CAUSASSELLADO1,0,,,0.04,0.14,22:00:00,8
8/1/19,2,3,10:00:00 p. m.,RESPONSABLE3,OPERADORES14,SAP-1647,SEL009,BAMA-001,TIPODEBOLSA1,25+14X51,90,,,,175,200,7,25,0,N/A,N/A,22.42,0.8,CAUSASEXTRUSION3,1.8,CAUSASIMPRESIÓN1,,0.4,CAUSASSELLADO1,0,,,0,0.07,23:40:00,1.7
8/1/19,2,3,10:00:00 p. m.,RESPONSABLE3,OPERADORES7,SAP-1635,SEL010,HOSO-001,TIPODEBOLSA2,30X59,190,,,,59.9,62,2,29.95,0,N/A,N/A,0,0,CAUSASEXTRUSION1,1.23,CAUSASIMPRESIÓN1,,0.14,CAUSASSELLADO1,0,,,0.21,0,23:30:00,1.5
8/1/19,2,3,10:00:00 p. m.,RESPONSABLE3,OPERADORES5,SAP-1633,SEL011,TEPU-005,TIPODEBOLSA2,38X75+5,200,,,,255.95,171,13,19.69,9.1,8401,17500,0,0,CAUSASEXTRUSION1,2,CAUSASIMPRESIÓN1,,2.44,CAUSASSELLADO1,0,,,0.32,0.22,6:00:00,8
8/1/19,2,3,11:50:00 p. m.,RESPONSABLE3,OPERADORES14,40119,SEL009,PROI-007,TIPODEBOLSA3,30+18X57,100,,,,478.5,521,23,20.8,0,N/A,N/A,57.29,1.23,CAUSASEXTRUSION3,0,CAUSASIMPRESIÓN4,,1.05,CAUSASSELLADO1,0,,,0.41,0,4:45:00,4.9
9/1/19,2,1,6:30:00 a. m.,RESPONSABLE1,OPERADORES2,SAP-1633,SEL011,TEPU-003,TIPODEBOLSA2,38X75+5,200,,,,71.98,60,3,23.99,0,17501,20100,0,11.41,CAUSASEXTRUSION4,1.35,CAUSASIMPRESIÓN1,,1.5,CAUSASSELLADO1,0,,,0.3,0.14,10:00:00,3.5
9/1/19,2,1,10:20:00 a. m.,RESPONSABLE1,OPERADORES9,SAP-1647,SEL009,BAMA-001,TIPODEBOLSA1,25+14X51,90,,,,175,178,7,25,0,N/A,N/A,21.09,0,CAUSASEXTRUSION1,1.02,CAUSASIMPRESIÓN1,,3.06,CAUSASSELLADO1,3.92,IMP. Y SELL,,0.34,0.07,14:00:00,3.7
9/1/19,2,2,2:00:00 p. m.,RESPONSABLE2,OPERADORES3,SAP-1647,SEL009,BAMA-001,TIPODEBOLSA1,25+14X51,90,,,,750,876,30,25,0,N/A,N/A,101.85,0,CAUSASEXTRUSION1,5.34,CAUSASIMPRESIÓN1,,5.74,CAUSASSELLADO1,0,,,0.67,0.07,22:00:00,8
9/1/19,2,3,10:00:00 p. m.,RESPONSABLE3,OPERADORES14,SAP-1647,SEL009,BAMA-001,TIPODEBOLSA1,25+14X51,90,,,,75,86,3,25,0,N/A,N/A,10.14,0,CAUSASEXTRUSION1,0.66,CAUSASIMPRESIÓN1,,0,CAUSASSELLADO2,4.55,IMP. Y EXT.,,0.1,0,23:30:00,1.5
10/1/19,2,1,8:15:00 a. m.,RESPONSABLE1,OPERADORES9,SAP-1647,SEL009,BAMA-001,TIPODEBOLSA1,25+14X51,90,,,,500,583,20,25,0,N/A,N/A,66.07,2.55,CAUSASEXTRUSION3,3.13,CAUSASIMPRESIÓN1,,1.68,CAUSASSELLADO1,0,,,0.05,0.07,13:15:00,5
10/1/19,2,1,9:30:00 a. m.,RESPONSABLE1,OPERADORES2,SAP-1653,SEL011,AGMA-001,TIPODEBOLSA2,30X60,200,,,,200,230,8,25,0,N/A,N/A,0,0,CAUSASEXTRUSION1,0,CAUSASIMPRESIÓN4,,1.21,CAUSASSELLADO1,0,,,0.3,0.12,13:45:00,4.3
10/1/19,2,2,2:00:00 p. m.,RESPONSABLE2,OPERADORES3,SAP-1647,SEL009,BAMA-001,TIPODEBOLSA1,25+14X51,90,,,,375,420,15,25,0,N/A,N/A,49.38,0,CAUSASEXTRUSION1,2.61,CAUSASIMPRESIÓN1,,3.39,CAUSASSELLADO1,0,,,0.18,0.07,17:10:00,3.2
10/1/19,2,2,5:30:00 p. m.,RESPONSABLE2,OPERADORES3,SAP-1650,SEL009,POFE-003,TIPODEBOLSA1,30+18X51,70,,,,200,247,10,20,0,N/A,N/A,32.63,0,CAUSASEXTRUSION1,0.63,CAUSASIMPRESIÓN1,,1.46,CAUSASSELLADO1,1.81,IMP. Y SELL,,0.25,0.04,22:00:00,4.5
10/1/19,2,2,2:00:00 p. m.,RESPONSABLE2,OPERADORES11,SAP-1653,SEL011,AGMA-001,TIPODEBOLSA2,30X60,200,,,,125,103,5,25,0,N/A,N/A,0,0,CAUSASEXTRUSION1,1.75,CAUSASIMPRESIÓN1,,0,CAUSASSELLADO2,0,,,0.08,0.13,18:00:00,4
10/1/19,2,2,6:00:00 p. m.,RESPONSABLE2,OPERADORES11,SAP-1652,SEL011,ELCA-002,TIPODEBOLSA2,22.5X54,180,,,,125,134,5,25,0,N/A,N/A,0,0,CAUSASEXTRUSION1,0.32,CAUSASIMPRESIÓN3,,0,CAUSASSELLADO2,0,,,0,0.07,22:00:00,4
10/1/19,2,2,8:30:00 p. m.,RESPONSABLE2,OPERADORES4,SAP-1655A,SEL012,FAUN-004,TIPODEBOLSA4,20X30,60,,,,16,71,1,16,0,N/A,N/A,0,0,CAUSASEXTRUSION1,0,CAUSASIMPRESIÓN4,,0.4,CAUSASSELLADO1,0,,,0,0.02,22:00:00,1.5
10/1/19,2,3,10:00:00 p. m.,RESPONSABLE3,OPERADORES12,SAP-1650,SEL009,POFE-003,TIPODEBOLSA1,30+18X51,70,,,,111.5,127,5,22.3,0,N/A,N/A,17.14,0,CAUSASEXTRUSION1,1.75,CAUSASIMPRESIÓN1,,0.15,CAUSASSELLADO1,2.6,IMP. Y EXT.,,0.25,0.08,0:00:00,2
10/1/19,2,3,12:10:00 a. m.,RESPONSABLE3,OPERADORES12,SAP-1647,SEL009,BAMA-001,TIPODEBOLSA1,25+14X51,90,,,,300,346,12,25,0,N/A,N/A,40.8,0,CAUSASEXTRUSION1,2,CAUSASIMPRESIÓN1,,1.1,CAUSASSELLADO1,2.6,IMP. Y EXT.,,0.45,0.07,3:30:00,3.3
10/1/19,2,3,10:00:00 p. m.,RESPONSABLE3,OPERADORES7,SAP-1652,SEL010,ELCA-002,TIPODEBOLSA2,22.5X54,180,,,,217.8,212,8,27.23,0,N/A,N/A,0,0,CAUSASEXTRUSION1,4.16,CAUSASIMPRESIÓN1,,1.16,CAUSASSELLADO1,0,,,0.43,0.1,3:00:00,5
10/1/19,2,3,10:00:00 p. m.,RESPONSABLE3,OPERADORES5,SAP-1651,SEL011,MANA-005,TIPODEBOLSA5,60X90,150,,,,140,145,7,20,0,N/A,N/A,0,0,CAUSASEXTRUSION1,2,CAUSASIMPRESIÓN1,,1.07,CAUSASSELLADO1,0,,,0.5,0.25,6:00:00,8
10/1/19,2,3,10:00:00 p. m.,RESPONSABLE3,OPERADORES8,SAP-1655A,SEL012,FAUN-004,TIPODEBOLSA4,20X30,60,,,,112,85,7,16,0,N/A,N/A,0,0,CAUSASEXTRUSION1,0.9,CAUSASIMPRESIÓN1,,0.2,CAUSASSELLADO1,0,,,0.1,0.03,6:00:00,8
11/1/19,2,1,8:10:00 a. m.,RESPONSABLE1,OPERADORES9,SAP-1647,SEL009,BAMA-001,TIPODEBOLSA1,25+14X51,90,,,,400,466,16,25,0,N/A,N/A,55.02,0,CAUSASEXTRUSION1,4.62,CAUSASIMPRESIÓN1,,1.26,CAUSASSELLADO1,0.84,IMP. Y SELL,,0.4,0.07,12:20:00,4.2
11/1/19,2,1,10:00:00 a. m.,RESPONSABLE1,OPERADORES10,SAP-1655A,SEL008,FAUN-004,TIPODEBOLSA4,20X30,60,,,,32,41,2,16,0,N/A,N/A,0,0,CAUSASEXTRUSION1,0,CAUSASIMPRESIÓN4,,0.38,CAUSASSELLADO1,0,,,0.04,0.04,14:00:00,4
11/1/19,2,1,,RESPONSABLE1,OPERADORES2,SAP-1651,SEL011,MANA-005,TIPODEBOLSA5,60X90,150,,,,135.69,140,6,22.62,0,N/A,N/A,0,0,CAUSASEXTRUSION1,3.61,CAUSASIMPRESIÓN1,,2.23,CAUSASSELLADO1,0,,,0.3,0.29,14:40:00,14.7
11/1/19,2,1,6:00:00 a. m.,RESPONSABLE1,OPERADORES1,SAP-1655A,SEL012,FAUN-004,TIPODEBOLSA5,60X90,150,,,,80,90,5,16,0,N/A,N/A,0,0,CAUSASEXTRUSION1,0.79,CAUSASIMPRESIÓN1,,0,CAUSASSELLADO1,0,,,0.9,0.2,14:00:00,8
11/1/19,2,2,2:00:00 p. m.,RESPONSABLE2,OPERADORES6,SAP-1655A,SEL008,FAUN-004,TIPODEBOLSA4,20X30,60,,,,64,90,4,16,0,N/A,N/A,0,0,CAUSASEXTRUSION1,1,CAUSASIMPRESIÓN1,,0.62,CAUSASSELLADO1,0,,,0.08,0,22:00:00,8
11/1/19,2,2,2:00:00 p. m.,RESPONSABLE2,OPERADORES3,SAP-1647,SEL009,BAMA-001,TIPODEBOLSA1,25+14X51,90,,,,525,614,21,25,0,N/A,N/A,73.37,0,CAUSASEXTRUSION1,2.5,CAUSASIMPRESIÓN1,,1.98,CAUSASSELLADO1,0,,,0.1,0.06,22:00:00,8
11/1/19,2,2,8:30:00 p. m.,RESPONSABLE2,OPERADORES15,SAP-1637,SEL010,MATI-001,TIPODEBOLSA2,28X61,200,,,,16.83,125,1,16.83,1,N/A,N/A,0,0,CAUSASEXTRUSION1,0,CAUSASIMPRESIÓN4,,0.66,CAUSASSELLADO1,0,,,0.2,0.14,21:30:00,1
11/1/19,2,2,2:00:00 p. m.,RESPONSABLE2,OPERADORES11,SAP-1658,SEL011,CRIS-003,TIPODEBOLSA2,58X83,300,,,,325,397,13,25,0,N/A,N/A,0,0,CAUSASEXTRUSION1,2.92,CAUSASIMPRESIÓN1,,1.43,CAUSASSELLADO1,0,,,0.27,0.42,22:00:00,8
