,SEMANA,FECHA,TURNO,IMPRESORA,OPERADOR,N° DE PEDIDO,CLAVE SAP,NOMBRE DE PEDIDO,TIPO DE PRODUCTO,ANCHO DE PELICULA,TINTAS,FOLIO DEL ROLLO,HORA INICIO,HORA FINAL,PESO DE ROLLO,RECUPERADO,% DE RECUP,HORAS DE TRABAJO,DISCO,year,month,day,week,date
23,1.0,2019-01-03,1.0,7.0,OPERADOR5,SAP-1606,,NOMBREDEPEDIDO6,TIPODEPRODUCTO2,60CM,,SAP-1606-1-1,,,150.,,,0.,,2019,1,3,1,2019-01-03
24,1.0,2019-01-03,1.0,7.0,OPERADOR5,SAP-1606,,NOMBREDEPEDIDO6,TIPODEPRODUCTO2,60CM,,SAP-1606-2-1,,,64.,,,0.,,2019,1,3,1,2019-01-03
25,1.0,2019-01-03,1.0,7.0,OPERADOR5,SAP-1620,,NOMBREDEPEDIDO3,TIPODEPRODUCTO1,76CM,,SAP-1620-1-1,,,78.,,,0.,,2019,1,3,1,2019-01-03
26,1.0,2019-01-03,1.0,7.0,OPERADOR5,SAP-1620,,NOMBREDEPEDIDO3,TIPODEPRODUCTO1,76CM,,SAP-1620-2-1,,,196.,,,0.,,2019,1,3,1,2019-01-03
27,1.0,2019-01-03,1.0,4.0,OPERADOR6,SAP-1607,,NOMBREDEPEDIDO4,TIPODEPRODUCTO2,57CM,,,,,0.,,,0.,,2019,1,3,1,2019-01-03
28,1.0,2019-01-03,1.0,4.0,OPERADOR6,SAP-1607,,NOMBREDEPEDIDO4,TIPODEPRODUCTO2,57CM,,SAP-1607-3-1,,,144.,3.,,0.,,2019,1,3,1,2019-01-03
29,1.0,2019-01-03,1.0,6.0,OPERADOR6,SAP-1607,,NOMBREDEPEDIDO4,TIPODEPRODUCTO2,57CM,,,,,0.,,,0.,,2019,1,3,1,2019-01-03
30,1.0,2019-01-03,1.0,6.0,OPERADOR6,SAP-1607,,NOMBREDEPEDIDO4,TIPODEPRODUCTO2,57CM,,SAP-1607-4-1,,,157.,4.,,0.,,2019,1,3,1,2019-01-03
31,1.0,2019-01-03,1.0,6.0,OPERADOR6,SAP-1607,,NOMBREDEPEDIDO4,TIPODEPRODUCTO2,57CM,,SAP-1607-5-1,,,140.,,,0.,,2019,1,3,1,2019-01-03
32,1.0,2019-01-03,1.0,6.0,OPERADOR7,SAP-1607,,NOMBREDEPEDIDO4,TIPODEPRODUCTO2,57CM,,SAP-1607-8-1,,,110.,,,0.,,2019,1,3,1,2019-01-03
33,1.0,2019-01-03,1.0,6.0,OPERADOR7,SAP-1607,,NOMBREDEPEDIDO4,TIPODEPRODUCTO2,57CM,,SAP-1607-9-1,,,,,,0.,,2019,1,3,1,2019-01-03
34,1.0,2019-01-03,1.0,6.0,OPERADOR7,SAP-1612,,NOMBREDEPEDIDO7,TIPODEPRODUCTO2,60CM,,SAP-1612-2-1,,,83.,,,0.,,2019,1,3,1,2019-01-03
35,1.0,2019-01-03,1.0,6.0,OPERADOR7,SAP-1612,,NOMBREDEPEDIDO7,TIPODEPRODUCTO2,60CM,,SAP-1612-2-2,,,83.,,,0.,,2019,1,3,1,2019-01-03
36,1.0,2019-01-03,1.0,6.0,OPERADOR7,SAP-1612,,NOMBREDEPEDIDO7,TIPODEPRODUCTO2,60CM,,SAP-1612-1-1,,,118.,,,0.,,2019,1,3,1,2019-01-03
37,1.0,2019-01-04,1.0,7.0,OPERADOR5,SAP-1614,,NOMBREDEPEDIDO8,TIPODEPRODUCTO2,60CM,,SAP-1614-1-1,,,89.,,,0.,,2019,1,4,1,2019-01-04
38,1.0,2019-01-04,1.0,7.0,OPERADOR5,SAP-1614,,NOMBREDEPEDIDO8,TIPODEPRODUCTO2,60CM,,SAP-1614-2-1,,,132.,,,0.,,2019,1,4,1,2019-01-04
39,1.0,2019-01-04,1.0,5.0,OPERADOR3,SAP-1629,,NOMBREDEPEDIDO5,TIPODEPRODUCTO1,40CM,,SAP-1629-5-1,,,35.,,,0.,,2019,1,4,1,2019-01-04
40,1.0,2019-01-04,1.0,5.0,OPERADOR3,SAP-1629,,NOMBREDEPEDIDO5,TIPODEPRODUCTO1,40CM,,SAP-1629-7-1,,,20.,,,0.,,2019,1,4,1,2019-01-04
41,1.0,2019-01-04,1.0,5.0,OPERADOR3,SAP-1629,,NOMBREDEPEDIDO5,TIPODEPRODUCTO1,40CM,,SAP-1629-6-1,,,21.,,,0.,,2019,1,4,1,2019-01-04
42,1.0,2019-01-04,2.0,7.0,OPERADOR2,SAP-1621,,NOMBREDEPEDIDO9,TIPODEPRODUCTO4,57CM,,,,,,5.,,0.,,2019,1,4,1,2019-01-04
43,1.0,2019-01-04,2.0,7.0,OPERADOR2,SAP-1621,,NOMBREDEPEDIDO9,TIPODEPRODUCTO2,57CM,,SAP-1621-1-1,,,134.,,,0.,,2019,1,4,1,2019-01-04
44,1.0,2019-01-04,2.0,7.0,OPERADOR2,SAP-1621,,NOMBREDEPEDIDO9,TIPODEPRODUCTO2,57CM,,SAP-1621-2-1,,,86.,,,0.,,2019,1,4,1,2019-01-04
45,1.0,2019-01-04,2.0,7.0,OPERADOR2,SAP-1621,,NOMBREDEPEDIDO9,TIPODEPRODUCTO2,57CM,,SAP-1621-2-2,,,85.,,,0.,,2019,1,4,1,2019-01-04
46,1.0,2019-01-04,2.0,7.0,OPERADOR2,SAP-1631,,NOMBREDEPEDIDO10,TIPODEPRODUCTO4,60CM,,,,,,5.,,0.,,2019,1,4,1,2019-01-04
47,1.0,2019-01-04,2.0,7.0,OPERADOR2,SAP-1631,,NOMBREDEPEDIDO10,TIPODEPRODUCTO2,60CM,,SAP-1631-1-1,,,118.,,,0.,,2019,1,4,1,2019-01-04
48,1.0,2019-01-04,2.0,6.0,OPERADOR4,SAP-1612,,NOMBREDEPEDIDO7,TIPODEPRODUCTO2,60CM,,SAP-1612-4-1,,,50.,,,0.,,2019,1,4,1,2019-01-04
49,1.0,2019-01-04,2.0,6.0,OPERADOR4,SAP1612,,NOMBREDEPEDIDO7,TIPODEPRODUCTO2,60CM,,SAP-1612-3-1,,,76.,,,0.,,2019,1,4,1,2019-01-04
50,1.0,2019-01-04,2.0,6.0,OPERADOR4,SAP-1642,,NOMBREDEPEDIDO11,TIPODEPRODUCTO1,76CM,,,,,,3.,,0.,,2019,1,4,1,2019-01-04
51,1.0,2019-01-04,2.0,6.0,OPERADOR4,SAP-1642,,NOMBREDEPEDIDO12,TIPODEPRODUCTO1,76CM,,SAP-1642-1-1,,,51.,,,0.,,2019,1,4,1,2019-01-04
52,1.0,2019-01-05,1.0,7.0,OPERADOR5,SAP-1631,,NOMBREDEPEDIDO10,TIPODEPRODUCTO2,60CM,,SAP-1631-2-1,,,133.,,,0.,,2019,1,5,1,2019-01-05
53,1.0,2019-01-05,1.0,4.0,OPERADOR6,SAP-1644,,NOMBREDEPEDIDO13,TIPODEPRODUCTO1,80CM,,SAP-1644-1-1,,,35.,,,0.,,2019,1,5,1,2019-01-05
54,1.0,2019-01-05,1.0,4.0,OPERADOR6,SAP-1644,,NOMBREDEPEDIDO13,TIPODEPRODUCTO1,80CM,,SAP-1644-2-1,,,35.,,,0.,,2019,1,5,1,2019-01-05
55,1.0,2019-01-05,1.0,4.0,OPERADOR6,SAP-1644,,NOMBREDEPEDIDO13,TIPODEPRODUCTO1,80CM,,SAP-1644-3-1,,,144.,,,0.,,2019,1,5,1,2019-01-05
56,1.0,2019-01-05,1.0,6.0,OPERADOR7,SAP-1642,,NOMBREDEPEDIDO12,TIPODEPRODUCTO1,76CM,,SAP-1642-2-1,,,93.,,,0.,,2019,1,5,1,2019-01-05
57,1.0,2019-01-05,1.0,6.0,OPERADOR7,SAP-1642,,NOMBREDEPEDIDO14,TIPODEPRODUCTO1,76CM,,SAP-1642-2-2,,,93.,,,0.,,2019,1,5,1,2019-01-05
58,2.0,2019-01-07,1.0,7.0,OPERADOR5,SAP-1631,,NOMBREDEPEDIDO10,TIPODEPRODUCTO2,60CM,,SAP-1631-3-1,11:00:00 AM,11:45:00 a. m.,84.,,,0.75,,2019,1,7,2,2019-01-07
59,2.0,2019-01-07,1.0,4.0,OPERADOR8,SAP-1466,,NOMBREDEPEDIDO13,TIPODEPRODUCTO1,80CM,,SAP-1466-4-1,11:15:00 AM,11:45:00 AM,17.,,,0.5,,2019,1,7,2,2019-01-07
60,2.0,2019-01-07,1.0,4.0,OPERADOR8,SAP-1466,,NOMBREDEPEDIDO13,TIPODEPRODUCTO1,80CM,,SAP-1466-5-1,1:20:00 PM,3:00:00 PM,120.,,,1.67,,2019,1,7,2,2019-01-07
61,2.0,2019-01-07,2.0,7.0,OPERADOR2,sap-1632,,NOMBREDEPEDIDO15,TIPODEPRODUCTO2,60CM,,SAP-1632-1-1,2:00:00 PM,2:55:00 PM,100.,,,0.92,,2019,1,7,2,2019-01-07
62,2.0,2019-01-07,2.0,7.0,OPERADOR2,sap-1632,,NOMBREDEPEDIDO15,TIPODEPRODUCTO2,60CM,,SAP-1632-2-1,3:00:00 PM,3:45:00 PM,96.,,,0.75,,2019,1,7,2,2019-01-07
63,2.0,2019-01-07,2.0,7.0,OPERADOR2,sap-1632,,NOMBREDEPEDIDO15,TIPODEPRODUCTO2,60CM,,SAP-1632-3-1,4:30:00 PM,5:15:00 PM,88.,,,0.75,,2019,1,7,2,2019-01-07
64,2.0,2019-01-07,2.0,4.0,OPERADOR6,SAP-1644,,NOMBREDEPEDIDO13,TIPODEPRODUCTO1,80CM,,SAP-1644-6-1,5:00:00 PM,7:10:00 PM,166.,,,2.17,,2019,1,7,2,2019-01-07
65,2.0,2019-01-07,2.0,4.0,OPERADOR6,SAP-1644,,NOMBREDEPEDIDO13,TIPODEPRODUCTO1,80CM,,SAP-1644-7-1,8:05:00 PM,8:40:00 PM,56.,,,0.58,,2019,1,7,2,2019-01-07
66,2.0,2019-01-07,2.0,4.0,OPERADOR6,SAP-1644,,NOMBREDEPEDIDO13,TIPODEPRODUCTO1,80CM,,SAP-1644-8-1,9:15:00 PM,9:55:00 PM,50.,,,0.67,,2019,1,7,2,2019-01-07
67,2.0,2019-01-08,1.0,6.0,OPERADOR4,SAP-1635,,NOMBREDEPEDIDO11,TIPODEPRODUCTO2,59CM,,,6:15:00 AM,9:10:00 AM,,2.,,2.92,,2019,1,8,2,2019-01-08
68,2.0,2019-01-08,1.0,6.0,OPERADOR4,SAP-1635,,NOMBREDEPEDIDO16,TIPODEPRODUCTO2,59CM,,SAP-1635-2-1,9:15:00 AM,10:10:00 AM,82.,,,0.92,,2019,1,8,2,2019-01-08
69,2.0,2019-01-08,1.0,6.0,OPERADOR4,SAP-1635,,NOMBREDEPEDIDO16,TIPODEPRODUCTO2,59CM,,SAP-1635-2-2,10:20:00 AM,11:10:00 AM,82.,,,0.83,,2019,1,8,2,2019-01-08
70,2.0,2019-01-08,1.0,6.0,OPERADOR4,SAP-1635,,NOMBREDEPEDIDO16,TIPODEPRODUCTO2,59CM,SAP,SAP-1635-3-1,11:45:00 AM,1:00:00 PM,134.,,,1.25,,2019,1,8,2,2019-01-08
71,2.0,2019-01-08,1.0,7.0,OPERADOR5,SAP-1647,,NOMBREDEPEDIDO17,TIPODEPRODUCTO1,78CM,,SAP-1647-1-1,10:00:00 AM,10:45:00 AM,62.,5.,,0.75,,2019,1,8,2,2019-01-08
72,2.0,2019-01-08,1.0,7.0,OPERADOR5,SAP-1647,,NOMBREDEPEDIDO17,TIPODEPRODUCTO1,78CM,,SAP-1647-2-1,11:45:00 AM,12:45:00 PM,163.,,,1.,,2019,1,8,2,2019-01-08
73,2.0,2019-01-08,1.0,4.0,OPERADOR8,SAP-1644,,NOMBREDEPEDIDO13,TIPODEPRODUCTO1,80CM,SAP,SAP-1644-9-1,6:40:00 AM,8:00:00 AM,77.,,,1.33,,2019,1,8,2,2019-01-08
74,2.0,2019-01-08,1.0,4.0,OPERADOR8,SAP-1643,,NOMBREDEPEDIDO18,TIPODEPRODUCTO1,48CM,,SAP-1643-2-1,8:40:00 AM,12:40:00 PM,100.,2.,,4.,,2019,1,8,2,2019-01-08
75,2.0,2019-01-08,1.0,4.0,OPERADOR8,SAP-1643,,NOMBREDEPEDIDO18,TIPODEPRODUCTO1,48CM,,SAP-1643-1-1,12:50:00 PM,1:15:00 PM,55.,,,0.42,,2019,1,8,2,2019-01-08
76,2.0,2019-01-08,1.0,5.0,OPERADOR1,SAP-1633,,NOMBREDEPEDIDO19,TIPODEPRODUCTO4,77.5CM,,,6:40:00 AM,7:25:00 AM,,12.,,0.75,,2019,1,8,2,2019-01-08
77,2.0,2019-01-08,1.0,5.0,OPERADOR1,SAP-1633,,NOMBREDEPEDIDO19,TIPODEPRODUCTO2,77.5CM,,SAP-1633-1-1,7:30:00 AM,8:25:00 AM,74.,,,0.92,,2019,1,8,2,2019-01-08
78,2.0,2019-01-08,1.0,5.0,OPERADOR1,SAP-1633,,NOMBREDEPEDIDO19,TIPODEPRODUCTO2,77.5CM,,SAP-1633-3-1,8:40:00 AM,9:25:00 AM,60.,,,0.75,,2019,1,8,2,2019-01-08
79,2.0,2019-01-08,1.0,5.0,OPERADOR1,SAP-1633,,NOMBREDEPEDIDO19,TIPODEPRODUCTO2,77.5CM,,SAP-1633-3-2,9:35:00 AM,11:20:00 AM,138.,,,1.75,,2019,1,8,2,2019-01-08
80,2.0,2019-01-08,1.0,5.0,OPERADOR1,SAP-1633,,NOMBREDEPEDIDO19,TIPODEPRODUCTO2,77.5CM,,SAP-1633-2-1,11:30:00 AM,12:45:00 PM,152.,,,1.25,,2019,1,8,2,2019-01-08
81,2.0,2019-01-08,1.0,5.0,OPERADOR1,SAP-1633,,NOMBREDEPEDIDO19,TIPODEPRODUCTO2,77.5CM,,SAP-1633-4-1,12:55:00 PM,2:00:00 PM,171.,,,1.08,,2019,1,8,2,2019-01-08
82,2.0,2019-01-08,2.0,4.0,OPERADOR6,SAP-1643,,NOMBREDEPEDIDO18,TIPODEPRODUCTO1,48CM,,SAP-1643-3-1,2:05:00 PM,3:10:00 PM,53.,,,1.08,,2019,1,8,2,2019-01-08
83,2.0,2019-01-08,2.0,4.0,OPERADOR6,SAP-1643,,NOMBREDEPEDIDO18,TIPODEPRODUCTO1,48CM,,SAP-1643-4-1,3:20:00 PM,4:10:00 PM,46.,,,0.83,,2019,1,8,2,2019-01-08
84,2.0,2019-01-08,2.0,4.0,OPERADOR6,SAP-1643,,NOMBREDEPEDIDO18,TIPODEPRODUCTO1,48CM,,SAP-1643-5-1,4:25:00 PM,5:30:00 PM,45.,,,1.08,,2019,1,8,2,2019-01-08
85,2.0,2019-01-08,2.0,6.0,OPERADOR7,SAP-1635,,NOMBREDEPEDIDO16,TIPODEPRODUCTO2,59CM,,SAP-1635-1-1,2:25:00 PM,3:05:00 PM,63.,,,0.67,,2019,1,8,2,2019-01-08
86,2.0,2019-01-08,2.0,6.0,OPERADOR7,SAP-1635,,NOMBREDEPEDIDO16,TIPODEPRODUCTO2,59CM,,SAP-1635-4-1,3:15:00 PM,4:10:00 PM,62.,,,0.92,,2019,1,8,2,2019-01-08
87,2.0,2019-01-08,2.0,6.0,OPERADOR7,SAP-1635,,NOMBREDEPEDIDO16,TIPODEPRODUCTO2,59CM,,SAP-1635-5-1,4:20:00 PM,5:30:00 PM,129.,,,1.17,,2019,1,8,2,2019-01-08
88,2.0,2019-01-08,2.0,7.0,OPERADOR2,SAP-1647,,NOMBREDEPEDIDO17,TIPODEPRODUCTO1,78CM,,SAP-1647-3-1,2:00:00 PM,3:00:00 PM,146.,,,1.,,2019,1,8,2,2019-01-08
89,2.0,2019-01-08,2.0,7.0,OPERADOR2,SAP-1647,,NOMBREDEPEDIDO17,TIPODEPRODUCTO1,78CM,,SAP-1647-4-1,4:50:00 PM,5:30:00 PM,200.,,,0.67,,2019,1,8,2,2019-01-08
90,2.0,2019-01-09,1.0,7.0,OPERADOR5,SAP-1647,,NOMBREDEPEDIDO17,TIPODEPRODUCTO1,78CM,,SAP-1647-6-1,6:20:00 AM,7:00:00 AM,86.,,,0.67,,2019,1,9,2,2019-01-09
91,2.0,2019-01-09,1.0,7.0,OPERADOR5,SAP-1647,,NOMBREDEPEDIDO17,TIPODEPRODUCTO1,78CM,,SAP-1647-7-1,7:05:00 AM,8:15:00 AM,155.,,,1.17,,2019,1,9,2,2019-01-09
92,2.0,2019-01-09,1.0,7.0,OPERADOR5,SAP-1647,,NOMBREDEPEDIDO17,TIPODEPRODUCTO1,78CM,,SAP-1647-5-1,8:20:00 AM,9:45:00 AM,178.,,,1.42,,2019,1,9,2,2019-01-09
93,2.0,2019-01-09,1.0,7.0,OPERADOR5,SAP-1647,,NOMBREDEPEDIDO17,TIPODEPRODUCTO1,78CM,,SAP-1647-8-1,9:50:00 AM,10:45:00 AM,125.,,,0.92,,2019,1,9,2,2019-01-09
94,2.0,2019-01-09,1.0,7.0,OPERADOR5,SAP-1647,,NOMBREDEPEDIDO17,TIPODEPRODUCTO1,78CM,,SAP-1647-9-1,10:40:00 AM,12:40:00 PM,170.,,,2.,,2019,1,9,2,2019-01-09
95,2.0,2019-01-09,2.0,7.0,OPERADOR2,SAP-1647,,NOMBREDEPEDIDO17,TIPODEPRODUCTO1,78CM,,SAP-1647-10-1,2:00:00 PM,3:10:00 PM,203.,,,1.17,,2019,1,9,2,2019-01-09
96,2.0,2019-01-09,2.0,7.0,OPERADOR2,SAP-1647,,NOMBREDEPEDIDO17,TIPODEPRODUCTO1,78CM,,SAP-1647-11-1,4:35:00 PM,6:00:00 PM,223.,,,1.42,,2019,1,9,2,2019-01-09
97,2.0,2019-01-10,1.0,6.0,OPERADOR4,SAP-1650,,NOMBREDEPEDIDO11,TIPODEPRODUCTO5,,,,6:10:00 AM,7:15:00 AM,,2.,,1.08,,2019,1,10,2,2019-01-10
98,2.0,2019-01-10,1.0,6.0,OPERADOR4,SAP-1650,,NOMBREDEPEDIDO20,TIPODEPRODUCTO1,48CM,,SAP-1650-2-1,7:25:00 AM,8:20:00 AM,40.,,,0.92,,2019,1,10,2,2019-01-10
99,2.0,2019-01-10,1.0,6.0,OPERADOR4,SAP-1650,,NOMBREDEPEDIDO20,TIPODEPRODUCTO1,48CM,,SAP-1650-6-1,7:30:00 AM,9:55:00 AM,81.,,,2.42,,2019,1,10,2,2019-01-10
100,2.0,2019-01-10,1.0,6.0,OPERADOR4,SAP-1650,,NOMBREDEPEDIDO20,TIPODEPRODUCTO1,48CM,,SAP-1650-7-1,10:05:00 AM,11:50:00 AM,105.,,,1.75,,2019,1,10,2,2019-01-10
101,2.0,2019-01-10,1.0,6.0,OPERADOR4,SAP-1650,,NOMBREDEPEDIDO20,TIPODEPRODUCTO1,48CM,SAP,SAP-1650-5-1,12:00:00 PM,12:50:00 PM,61.,,,0.83,,2019,1,10,2,2019-01-10
102,2.0,2019-01-10,1.0,7.0,OPERADOR5,SAP-1647,,NOMBREDEPEDIDO17,TIPODEPRODUCTO1,78CM,,SAP-1647-12-1,6:20:00 AM,7:50:00 AM,200.,,,1.5,,2019,1,10,2,2019-01-10
103,2.0,2019-01-10,1.0,7.0,OPERADOR5,SAP-1647,,NOMBREDEPEDIDO17,TIPODEPRODUCTO1,78CM,,SAP´-1647-14-1,7:55:00 AM,9:20:00 AM,188.,,,1.42,,2019,1,10,2,2019-01-10
104,2.0,2019-01-10,1.0,7.0,OPERADOR5,SAP-1647,,NOMBREDEPEDIDO17,TIPODEPRODUCTO1,78CM,,SAP-1647-13-1,9:25:00 AM,10:50:00 AM,195.,,,1.42,,2019,1,10,2,2019-01-10
105,2.0,2019-01-10,1.0,7.0,OPERADOR5,SAP-1647,,NOMBREDEPEDIDO17,TIPODEPRODUCTO1,78CM,,SAP-1647-15-1,11:30:00 AM,1:15:00 PM,214.,,,1.75,,2019,1,10,2,2019-01-10
106,2.0,2019-01-10,1.0,6.0,OPERADOR4,SAP-1650,,NOMBREDEPEDIDO20,TIPODEPRODUCTO1,48CM,,SAP-1650-3-1,1:00:00 PM,1:50:00 PM,52.,,,0.83,,2019,1,10,2,2019-01-10
107,2.0,2019-01-10,1.0,5.0,OPERADOR1,SAP-1653,,NOMBREDEPEDIDO21,TIPODEPRODUCTO4,60CM,,,6:30:00 AM,7:20:00 AM,,2.,,0.83,,2019,1,10,2,2019-01-10
108,2.0,2019-01-10,1.0,5.0,OPERADOR1,SAP-1653,,NOMBREDEPEDIDO21,TIPODEPRODUCTO2,60CM,,SAP-1653-2-1,7:30:00 AM,7:55:00 AM,40.,,,0.42,,2019,1,10,2,2019-01-10
109,2.0,2019-01-10,1.0,5.0,OPERADOR1,SAP-1653,,NOMBREDEPEDIDO21,TIPODEPRODUCTO2,60CM,,SAP-1653-2-2,8:05:00 AM,8:45:00 AM,77.,,,0.67,,2019,1,10,2,2019-01-10
110,2.0,2019-01-10,1.0,5.0,OPERADOR1,SAP-1653,,NOMBREDEPEDIDO21,TIPODEPRODUCTO2,60CM,,SAP-1653-3-1,8:55:00 AM,10:10:00 AM,153.,,,1.25,,2019,1,10,2,2019-01-10
111,2.0,2019-01-10,1.0,5.0,OPERADOR1,SAP-1653,,NOMBREDEPEDIDO21,TIPODEPRODUCTO2,60CM,,SAP-1653-1-1,11:10:00 AM,11:40:00 AM,63.,,,0.5,,2019,1,10,2,2019-01-10
112,2.0,2019-01-10,1.0,5.0,OPERADOR1,SAP-1652,,NOMBREDEPEDIDO22,TIPODEPRODUCTO4,54CM,,,11:50:00 AM,12:35:00 PM,,2.,,0.75,,2019,1,10,2,2019-01-10
113,2.0,2019-01-10,1.0,5.0,OPERADOR1,SAP-1652,,NOMBREDEPEDIDO22,TIPODEPRODUCTO2,54CM,,SAP-1652-1-1,12:40:00 PM,1:55:00 PM,134.,,,1.25,,2019,1,10,2,2019-01-10
114,2.0,2019-01-10,2.0,7.0,OPERADOR2,SAP-1647,,NOMBREDEPEDIDO17,TIPODEPRODUCTO1,78CM,,SAP-1647-17-1,2:00:00 PM,2:30:00 PM,93.,,,0.5,,2019,1,10,2,2019-01-10
115,2.0,2019-01-10,2.0,7.0,OPERADOR2,SAP-1647,,NOMBREDEPEDIDO17,TIPODEPRODUCTO1,78CM,,SAP-1647-16-2,2:35:00 PM,3:30:00 PM,113.,,,0.92,,2019,1,10,2,2019-01-10
